I0,I1
0.000000,-3.890045
0.000000,-2.044250
0.000000,-0.663910
0.000000,-1.301941
0.000000,-3.214020
0.000000,-2.223358
0.000000,0.027679
0.000000,1.785828
0.000000,-2.770050
0.000000,-6.327850
0.000000,-5.380768
0.000000,-0.941620
0.000000,-1.839874
0.000000,-8.202271
0.000000,-9.366425
0.000000,-4.057953
0.000000,0.412140
0.000000,-2.528534
0.000000,-4.017120
0.000000,-0.470337
0.000000,-1.460785
0.000000,-0.821106
0.000000,-0.085419
0.000000,-2.953705
0.000000,-2.540894
0.000000,-0.365051
0.000000,2.844086
0.000000,-4.322876
0.000000,-6.790192
0.000000,-4.898407
0.000000,-2.406464
0.000000,-2.034302
0.000000,-5.396576
0.000000,-3.509827
0.000000,-2.454437
0.000000,-1.655304
0.000000,-0.766449
0.000000,-2.978577
0.000000,-6.710815
0.000000,-2.154053
0.000000,1.388000
0.000000,0.871429
0.000000,-5.382355
0.000000,-6.107971
0.000000,-3.640442
0.000000,-0.229279
0.000000,-2.050385
0.000000,-6.350250
0.000000,-2.498535
0.000000,-4.056122
0.000000,-0.432892
0.000000,-4.059357
0.000000,-4.442810
0.000000,-2.163788
0.000000,2.008667
0.000000,1.687500
0.000000,-2.744781
0.000000,-5.450867
0.000000,-1.723297
0.000000,0.170380
0.000000,-1.164307
0.000000,-5.448120
0.000000,-2.815369
0.000000,-4.458160
0.000000,-3.196289
0.000000,-2.631409
0.000000,-5.971375
0.000000,-7.633331
0.000000,0.099457
0.000000,-0.373932
0.000000,0.016541
0.000000,-7.009308
0.000000,-5.103424
0.000000,0.114868
0.000000,1.347992
0.000000,-2.252869
0.000000,-3.493195
0.000000,-2.647491
0.000000,-2.957214
0.000000,-2.654022
0.000000,-5.182800
0.000000,-6.153107
0.000000,-4.969666
0.000000,1.625031
0.000000,3.623901
0.000000,-6.759918
0.000000,-5.406586
0.000000,-0.149811
0.000000,-1.461121
0.000000,0.461639
0.000000,-3.262451
0.000000,-2.574493
0.000000,-1.717651
0.000000,-0.165375
0.000000,-4.176056
0.000000,-6.913971
0.000000,-7.713684
0.000000,-3.990082
0.000000,2.265015
0.000000,-4.269684
0.000000,-8.899078
0.000000,-4.380157
0.000000,-1.548126
0.000000,-0.751160
0.000000,-2.105835
0.000000,-1.970215
0.000000,-2.121033
0.000000,-1.997162
0.000000,-0.160614
0.000000,-4.938507
0.000000,-6.177277
0.000000,-4.246002
0.000000,-2.242004
0.000000,1.104523
0.000000,-8.090027
0.000000,-6.231995
0.000000,-1.181061
0.000000,1.783905
0.000000,-0.997711
0.000000,-5.068665
0.000000,-3.565094
0.000000,-0.037048
0.000000,-1.015320
0.000000,-0.804596
0.000000,-3.492218
0.000000,-2.921814
0.000000,-1.430511
0.000000,2.024475
0.000000,-5.820435
0.000000,-6.425964
0.000000,-2.599030
0.000000,-0.765320
0.000000,-4.895386
0.000000,-2.552155
0.000000,-3.032623
0.000000,-2.431244
0.000000,-1.625763
0.000000,-5.706268
0.000000,-5.592285
0.000000,-0.825287
0.000000,2.061523
0.000000,0.346313
0.000000,-5.274841
0.000000,-4.501862
0.000000,0.238953
0.000000,-0.012360
0.000000,-2.401276
0.000000,-4.708038
0.000000,-2.688477
0.000000,-3.204956
0.000000,-0.198151
0.000000,-1.778290
0.000000,-6.215576
0.000000,-3.172821
0.000000,-0.419983
0.000000,1.718781
0.000000,-5.942505
0.000000,-5.053894
0.000000,-2.751953
0.000000,-0.839783
0.000000,-0.334595
0.000000,-3.831421
0.000000,-4.134094
0.000000,-5.783112
0.000000,-1.772064
0.000000,-1.320496
0.000000,-7.270813
0.000000,-6.484344
0.000000,-1.426422
0.000000,3.808807
0.000000,0.719849
0.000000,-6.066772
0.000000,-0.985321
0.000000,0.843628
0.000000,-0.251892
0.000000,-1.744659
0.000000,-2.928192
0.000000,-3.453827
0.000000,-3.423920
0.000000,-0.750519
0.000000,-5.363281
0.000000,-6.536926
0.000000,-5.098694
0.000000,1.258179
0.000000,0.325012
0.000000,-7.377106
0.000000,-8.050812
0.000000,-0.436493
0.000000,-0.686768
0.000000,-2.504852
0.000000,-1.267548
0.000000,0.087036
0.000000,-2.645935
0.000000,-0.909851
0.000000,0.304138
0.000000,-5.702484
